Created as New Dataset,ABS black tube
cm-1,%T
3490.00,97.24
3489.00,97.25
3488.00,97.25
3487.00,97.25
3486.00,97.26
3485.00,97.26
3484.00,97.26
3483.00,97.26
3482.00,97.26
3481.00,97.26
3480.00,97.26
3479.00,97.26
3478.00,97.26
3477.00,97.25
3476.00,97.25
3475.00,97.25
3474.00,97.26
3473.00,97.26
3472.00,97.27
3471.00,97.27
3470.00,97.27
3469.00,97.27
3468.00,97.27
3467.00,97.27
3466.00,97.27
3465.00,97.27
3464.00,97.27
3463.00,97.27
3462.00,97.27
3461.00,97.27
3460.00,97.26
3459.00,97.26
3458.00,97.26
3457.00,97.26
3456.00,97.26
3455.00,97.26
3454.00,97.26
3453.00,97.26
3452.00,97.26
3451.00,97.27
3450.00,97.27
3449.00,97.27
3448.00,97.27
3447.00,97.26
3446.00,97.26
3445.00,97.26
3444.00,97.26
3443.00,97.26
3442.00,97.26
3441.00,97.26
3440.00,97.26
3439.00,97.27
3438.00,97.27
3437.00,97.27
3436.00,97.28
3435.00,97.28
3434.00,97.28
3433.00,97.28
3432.00,97.28
3431.00,97.28
3430.00,97.28
3429.00,97.28
3428.00,97.28
3427.00,97.28
3426.00,97.28
3425.00,97.28
3424.00,97.28
3423.00,97.29
3422.00,97.29
3421.00,97.29
3420.00,97.29
3419.00,97.29
3418.00,97.29
3417.00,97.29
3416.00,97.29
3415.00,97.30
3414.00,97.30
3413.00,97.30
3412.00,97.30
3411.00,97.30
3410.00,97.30
3409.00,97.30
3408.00,97.31
3407.00,97.31
3406.00,97.31
3405.00,97.31
3404.00,97.31
3403.00,97.31
3402.00,97.31
3401.00,97.31
3400.00,97.31
3399.00,97.31
3398.00,97.31
3397.00,97.31
3396.00,97.31
3395.00,97.31
3394.00,97.31
3393.00,97.31
3392.00,97.31
3391.00,97.31
3390.00,97.31
3389.00,97.31
3388.00,97.31
3387.00,97.31
3386.00,97.31
3385.00,97.31
3384.00,97.31
3383.00,97.31
3382.00,97.31
3381.00,97.31
3380.00,97.32
3379.00,97.32
3378.00,97.31
3377.00,97.31
3376.00,97.31
3375.00,97.31
3374.00,97.31
3373.00,97.32
3372.00,97.32
3371.00,97.32
3370.00,97.32
3369.00,97.32
3368.00,97.32
3367.00,97.32
3366.00,97.32
3365.00,97.32
3364.00,97.32
3363.00,97.32
3362.00,97.32
3361.00,97.32
3360.00,97.32
3359.00,97.31
3358.00,97.31
3357.00,97.31
3356.00,97.31
3355.00,97.31
3354.00,97.31
3353.00,97.31
3352.00,97.31
3351.00,97.31
3350.00,97.31
3349.00,97.31
3348.00,97.31
3347.00,97.31
3346.00,97.31
3345.00,97.31
3344.00,97.31
3343.00,97.31
3342.00,97.31
3341.00,97.31
3340.00,97.31
3339.00,97.31
3338.00,97.32
3337.00,97.32
3336.00,97.32
3335.00,97.31
3334.00,97.31
3333.00,97.31
3332.00,97.31
3331.00,97.31
3330.00,97.31
3329.00,97.31
3328.00,97.31
3327.00,97.31
3326.00,97.31
3325.00,97.31
3324.00,97.31
3323.00,97.31
3322.00,97.31
3321.00,97.31
3320.00,97.30
3319.00,97.30
3318.00,97.31
3317.00,97.31
3316.00,97.31
3315.00,97.31
3314.00,97.31
3313.00,97.31
3312.00,97.31
3311.00,97.31
3310.00,97.31
3309.00,97.31
3308.00,97.31
3307.00,97.31
3306.00,97.31
3305.00,97.31
3304.00,97.31
3303.00,97.31
3302.00,97.31
3301.00,97.31
3300.00,97.31
3299.00,97.31
3298.00,97.31
3297.00,97.31
3296.00,97.31
3295.00,97.31
3294.00,97.31
3293.00,97.31
3292.00,97.31
3291.00,97.31
3290.00,97.31
3289.00,97.31
3288.00,97.30
3287.00,97.30
3286.00,97.30
3285.00,97.30
3284.00,97.30
3283.00,97.30
3282.00,97.30
3281.00,97.30
3280.00,97.30
3279.00,97.30
3278.00,97.30
3277.00,97.30
3276.00,97.30
3275.00,97.30
3274.00,97.30
3273.00,97.30
3272.00,97.30
3271.00,97.29
3270.00,97.29
3269.00,97.29
3268.00,97.29
3267.00,97.29
3266.00,97.29
3265.00,97.29
3264.00,97.29
3263.00,97.29
3262.00,97.29
3261.00,97.29
3260.00,97.29
3259.00,97.29
3258.00,97.30
3257.00,97.30
3256.00,97.30
3255.00,97.30
3254.00,97.30
3253.00,97.30
3252.00,97.29
3251.00,97.29
3250.00,97.29
3249.00,97.29
3248.00,97.29
3247.00,97.28
3246.00,97.28
3245.00,97.28
3244.00,97.28
3243.00,97.28
3242.00,97.28
3241.00,97.29
3240.00,97.28
3239.00,97.28
3238.00,97.28
3237.00,97.28
3236.00,97.28
3235.00,97.28
3234.00,97.28
3233.00,97.29
3232.00,97.29
3231.00,97.29
3230.00,97.29
3229.00,97.28
3228.00,97.28
3227.00,97.28
3226.00,97.28
3225.00,97.28
3224.00,97.28
3223.00,97.28
3222.00,97.28
3221.00,97.27
3220.00,97.27
3219.00,97.27
3218.00,97.26
3217.00,97.26
3216.00,97.25
3215.00,97.25
3214.00,97.25
3213.00,97.25
3212.00,97.25
3211.00,97.25
3210.00,97.26
3209.00,97.26
3208.00,97.25
3207.00,97.25
3206.00,97.25
3205.00,97.25
3204.00,97.25
3203.00,97.25
3202.00,97.25
3201.00,97.25
3200.00,97.25
3199.00,97.25
3198.00,97.25
3197.00,97.25
3196.00,97.26
3195.00,97.26
3194.00,97.26
